2020-04-12 19:48:48.077 INFO  [main] com.liyuan3210.adr.Main - 正在启动中......
2020-04-12 19:48:48.906 INFO  [main] com.liyuan3210.adr.Main - Starting Main on SimonYin.local with PID 1957 (/Users/yingch/work/git-project/mary/adr/target/classes started by yingch in /Users/yingch/work/git-project/mary/adr)
2020-04-12 19:48:48.906 INFO  [main] com.liyuan3210.adr.Main - The following profiles are active: sit
2020-04-12 19:48:48.967 INFO  [main] o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@42721fe: startup date [Sun Apr 12 19:48:48 CST 2020]; root of context hierarchy
2020-04-12 19:48:49.108 INFO  [background-preinit] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final
2020-04-12 19:48:50.081 INFO  [main] o.s.b.c.e.tomcat.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8080 (http)
2020-04-12 19:48:50.089 INFO  [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-04-12 19:48:50.090 INFO  [main] org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.23
2020-04-12 19:48:50.154 INFO  [localhost-startStop-1] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-04-12 19:48:50.154 INFO  [localhost-startStop-1] org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1187 ms
2020-04-12 19:48:50.261 INFO  [localhost-startStop-1] o.s.boot.web.servlet.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
2020-04-12 19:48:50.265 INFO  [localhost-startStop-1] o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2020-04-12 19:48:50.265 INFO  [localhost-startStop-1] o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2020-04-12 19:48:50.265 INFO  [localhost-startStop-1] o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2020-04-12 19:48:50.265 INFO  [localhost-startStop-1] o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2020-04-12 19:48:50.324 INFO  [main] org.apdplat.word.segmentation.SegmentationFactory - 构造分词实现类：org.apdplat.word.segmentation.impl.MaximumMatching
2020-04-12 19:48:50.328 INFO  [main] org.apdplat.word.util.WordConfTools - 开始加载配置文件
2020-04-12 19:48:50.329 INFO  [main] org.apdplat.word.util.WordConfTools - 加载配置文件：word.conf
2020-04-12 19:48:50.330 INFO  [main] org.apdplat.word.util.WordConfTools - 加载配置文件：word.local.conf
2020-04-12 19:48:50.331 INFO  [main] org.apdplat.word.util.WordConfTools - 配置文件加载完毕，耗时2 毫秒，配置项数目：33
2020-04-12 19:48:50.331 INFO  [main] org.apdplat.word.util.WordConfTools - 配置信息：
2020-04-12 19:48:50.335 INFO  [main] org.apdplat.word.util.WordConfTools - 1、auto.detect=true
2020-04-12 19:48:50.335 INFO  [main] org.apdplat.word.util.WordConfTools - 2、bigram.double.array.trie.size=5300000
2020-04-12 19:48:50.335 INFO  [main] org.apdplat.word.util.WordConfTools - 3、bigram.path=
2020-04-12 19:48:50.335 INFO  [main] org.apdplat.word.util.WordConfTools - 4、dic.class=org.apdplat.word.dictionary.impl.DictionaryTrie
2020-04-12 19:48:50.335 INFO  [main] org.apdplat.word.util.WordConfTools - 5、dic.dump.path=
2020-04-12 19:48:50.335 INFO  [main] org.apdplat.word.util.WordConfTools - 6、dic.path=classpath:dic/ext_name_word.txt,classpath:dic/ext_area_word.txt
2020-04-12 19:48:50.335 INFO  [main] org.apdplat.word.util.WordConfTools - 7、dictionary.trie.index.size=48000
2020-04-12 19:48:50.335 INFO  [main] org.apdplat.word.util.WordConfTools - 8、double.array.dictionary.trie.size=5120000
